Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
42,Charlie Bourgeois,26,CGY,D,29,5,5,10,9,128,2.0,5,0,0,0,5,0,0,30,16.7,,,bourgch01
43,Bob Bourne,31,NYI,LW,62,17,15,32,-8,36,1.4,15,2,0,5,13,2,0,100,17.0,,,bournbo01
44,Phil Bourque,23,PIT,D,4,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,,,,bourqph01
45,Ray Bourque*,25,BOS,D,74,19,58,77,17,68,10.1,8,11,0,3,22,34,2,289,6.6,,,bourqra01
46,Paul Boutilier,22,NYI,D,77,4,30,34,-4,100,4.4,4,0,0,0,19,11,0,124,3.2,,,boutipa01
47,Randy Boyd,24,NYI,D,55,2,12,14,9,79,3.0,2,0,0,0,9,2,1,52,3.8,,,boydra01
48,Steve Bozek,25,CGY,LW,64,21,22,43,26,24,3.2,12,5,4,3,14,5,3,147,14.3,,,bozekst01
49,Brian Bradley,21,CGY,C,5,0,1,1,-3,0,-0.2,0,0,0,0,1,0,0,4,0.0,,,bradlbr01
50,Dan Brennan,23,LAK,LW,6,0,1,1,-1,9,-0.1,0,0,0,0,1,0,0,6,0.0,,,brennda01
51,Mel Bridgman,30,NJD,LW,78,23,40,63,-3,80,3.7,17,5,1,1,27,12,1,135,17.0,,,bridgme01
52,Bob Brooke,25,NYR,RW,79,24,20,44,6,111,2.9,16,6,2,1,15,3,2,178,13.5,,,brookbo01
53,Aaron Broten,25,NJD,LW,66,18,25,43,2,26,2.4,14,4,0,1,18,7,0,157,11.5,,,broteaa01
